"","bucket","ntree","sampsize","trainError","cvError"
"result.110",10,75,0.85,0.133711111111111,0.218
"result.111",1,100,0.85,0.203888888888889,0.2776
"result.112",2,125,0.85,0.121511111111111,0.1886
"result.113",3,150,0.85,0.114111111111111,0.1792
"result.114",4,175,0.85,0.119755555555556,0.1916
"result.115",5,200,0.85,0.123311111111111,0.2032
"result.116",6,225,0.85,0.137088888888889,0.2134
"result.117",7,250,0.85,0.112755555555556,0.1904
"result.118",8,50,0.85,0.112355555555556,0.2016
"result.119",9,75,0.85,0.115955555555556,0.196
"result.120",10,100,0.85,0.1316,0.2172
"result.121",1,125,0.85,0.203177777777778,0.2734
"result.122",2,150,0.85,0.124133333333333,0.1882
"result.123",3,175,0.85,0.118444444444444,0.1816
"result.124",4,200,0.85,0.120844444444444,0.1926
"result.125",5,225,0.85,0.116733333333333,0.2034
"result.126",6,250,0.85,0.140577777777778,0.2176
"result.127",7,50,0.85,0.118711111111111,0.1966
"result.128",8,75,0.85,0.117511111111111,0.2024
"result.129",9,100,0.85,0.115111111111111,0.1936
"result.130",10,125,0.85,0.137444444444444,0.2202
"result.131",1,150,0.85,0.204422222222222,0.2768
"result.132",2,175,0.85,0.1238,0.1864
"result.133",3,200,0.85,0.117688888888889,0.1834
"result.134",4,225,0.85,0.124466666666667,0.194
"result.135",5,250,0.85,0.123266666666667,0.2044
"result.136",6,50,0.85,0.138533333333333,0.2168
"result.137",7,75,0.85,0.115955555555556,0.1934
"result.138",8,100,0.85,0.119222222222222,0.2024
"result.139",9,125,0.85,0.113044444444444,0.1954
"result.140",10,150,0.85,0.133511111111111,0.219
"result.141",1,175,0.85,0.204333333333333,0.2826
"result.142",2,200,0.85,0.120266666666667,0.1832
"result.143",3,225,0.85,0.1124,0.1756
"result.144",4,250,0.85,0.121666666666667,0.1958
"result.145",5,50,0.85,0.121333333333333,0.2012
"result.146",6,75,0.85,0.136866666666667,0.2166
"result.147",7,100,0.85,0.111866666666667,0.19
"result.148",8,125,0.85,0.123155555555556,0.202
"result.149",9,150,0.85,0.108133333333333,0.1922
"result.150",10,175,0.85,0.127866666666667,0.216
"result.151",1,200,0.85,0.200577777777778,0.2784
"result.152",2,225,0.85,0.123311111111111,0.1836
"result.153",3,250,0.85,0.122044444444444,0.1838
"result.154",4,50,0.85,0.127844444444444,0.1964
"result.155",5,75,0.85,0.124688888888889,0.202
"result.156",6,100,0.85,0.1424,0.2216
"result.157",7,125,0.85,0.115177777777778,0.188
"result.158",8,150,0.85,0.119133333333333,0.2022
"result.159",9,175,0.85,0.109955555555556,0.193
"result.160",10,200,0.85,0.134022222222222,0.2156
"result.161",1,225,0.85,0.204111111111111,0.2778
"result.162",2,250,0.85,0.120222222222222,0.1834
"result.163",3,50,0.85,0.125088888888889,0.1858
"result.164",4,75,0.85,0.124911111111111,0.1954
"result.165",5,100,0.85,0.121711111111111,0.2028
"result.166",6,125,0.85,0.143133333333333,0.2216
"result.167",7,150,0.85,0.114355555555556,0.1924
"result.168",8,175,0.85,0.128311111111111,0.2076
"result.169",9,200,0.85,0.116466666666667,0.1898
"result.170",10,225,0.85,0.133733333333333,0.2186
"result.171",1,250,0.85,0.210933333333333,0.2816
"result.172",2,50,0.85,0.116644444444444,0.187
"result.173",3,75,0.85,0.121222222222222,0.1838
"result.174",4,100,0.85,0.127066666666667,0.199
"result.175",5,125,0.85,0.121933333333333,0.203
"result.176",6,150,0.85,0.143733333333333,0.2204
"result.177",7,175,0.85,0.117511111111111,0.1954
"result.178",8,200,0.85,0.1218,0.2052
"result.179",9,225,0.85,0.112066666666667,0.192
"result.180",10,250,0.85,0.136577777777778,0.2202
"result.181",1,50,0.9,0.200666666666667,0.2764
"result.182",2,75,0.9,0.120933333333333,0.1874
"result.183",3,100,0.9,0.1172,0.1812
"result.184",4,125,0.9,0.121133333333333,0.1956
"result.185",5,150,0.9,0.118066666666667,0.202
"result.186",6,175,0.9,0.134,0.216
"result.187",7,200,0.9,0.114311111111111,0.1926
"result.188",8,225,0.9,0.118088888888889,0.2038
"result.189",9,250,0.9,0.116533333333333,0.1954
"result.190",10,50,0.9,0.134466666666667,0.2212
"result.191",1,75,0.9,0.209733333333333,0.2816
"result.192",2,100,0.9,0.120955555555556,0.1874
"result.193",3,125,0.9,0.118844444444444,0.184
"result.194",4,150,0.9,0.120755555555556,0.1896
"result.195",5,175,0.9,0.1178,0.201
"result.196",6,200,0.9,0.136933333333333,0.2182
"result.197",7,225,0.9,0.108133333333333,0.1916
"result.198",8,250,0.9,0.1136,0.198
"result.199",9,50,0.9,0.111688888888889,0.193
"result.200",10,75,0.9,0.129466666666667,0.2192
"result.201",1,100,0.9,0.198977777777778,0.277
"result.202",2,125,0.9,0.121577777777778,0.1892
"result.203",3,150,0.9,0.115488888888889,0.1788
"result.204",4,175,0.9,0.128444444444444,0.1996
"result.205",5,200,0.9,0.114777777777778,0.199
"result.206",6,225,0.9,0.136577777777778,0.2176
"result.207",7,250,0.9,0.118888888888889,0.1968
"result.208",8,50,0.9,0.126977777777778,0.2074
"result.209",9,75,0.9,0.1128,0.1936
"result.210",10,100,0.9,0.128488888888889,0.2184
"result.211",1,125,0.9,0.198755555555556,0.278
"result.212",2,150,0.9,0.119777777777778,0.1868
"result.213",3,175,0.9,0.116733333333333,0.1832
"result.214",4,200,0.9,0.124422222222222,0.1952
"result.215",5,225,0.9,0.113111111111111,0.2034
"result.216",6,250,0.9,0.139511111111111,0.2162
"result.217",7,50,0.9,0.121666666666667,0.1948
"result.218",8,75,0.9,0.114866666666667,0.2002
"result.219",9,100,0.9,0.108066666666667,0.1924
"result.220",10,125,0.9,0.131511111111111,0.2198
"result.221",1,150,0.9,0.209355555555556,0.2834
"result.222",2,175,0.9,0.114466666666667,0.1824
"result.223",3,200,0.9,0.114,0.1788
"result.224",4,225,0.9,0.121644444444444,0.1912
"result.225",5,250,0.9,0.117733333333333,0.2028
"result.226",6,50,0.9,0.141422222222222,0.2172
"result.227",7,75,0.9,0.110066666666667,0.1884
"result.228",8,100,0.9,0.116288888888889,0.2048
"result.229",9,125,0.9,0.103933333333333,0.1848
"result.230",10,150,0.9,0.130866666666667,0.219
"result.231",1,175,0.9,0.209266666666667,0.2814
"result.232",2,200,0.9,0.118311111111111,0.1868
"result.233",3,225,0.9,0.115977777777778,0.1808
"result.234",4,250,0.9,0.124155555555556,0.195
"result.235",5,50,0.9,0.115355555555556,0.2042
"result.236",6,75,0.9,0.130711111111111,0.2166
"result.237",7,100,0.9,0.119533333333333,0.1942
"result.238",8,125,0.9,0.117866666666667,0.1992
"result.239",9,150,0.9,0.110933333333333,0.1938
"result.240",10,175,0.9,0.127577777777778,0.215
"result.241",1,200,0.9,0.205044444444444,0.2802
"result.242",2,225,0.9,0.120511111111111,0.1856
"result.243",3,250,0.9,0.111244444444444,0.1794
"result.244",4,50,0.9,0.116777777777778,0.192
"result.245",5,75,0.9,0.113622222222222,0.2028
"result.246",6,100,0.9,0.137866666666667,0.2176
"result.247",7,125,0.9,0.113577777777778,0.1946
"result.248",8,150,0.9,0.118222222222222,0.2048
"result.249",9,175,0.9,0.104755555555556,0.1902
"result.250",10,200,0.9,0.1274,0.2168
"result.251",1,225,0.9,0.204577777777778,0.2796
"result.252",2,250,0.9,0.115622222222222,0.184
"result.253",3,50,0.9,0.119111111111111,0.1858
"result.254",4,75,0.9,0.118933333333333,0.1914
"result.255",5,100,0.9,0.116977777777778,0.2036
"result.256",6,125,0.9,0.143177777777778,0.2164
"result.257",7,150,0.9,0.114444444444444,0.1898
"result.258",8,175,0.9,0.116377777777778,0.2008
"result.259",9,200,0.9,0.110311111111111,0.1918
"result.260",10,225,0.9,0.130133333333333,0.2194
"result.261",1,250,0.9,0.204422222222222,0.2806
"result.262",2,50,0.9,0.115288888888889,0.1818
"result.263",3,75,0.9,0.111066666666667,0.1816
"result.264",4,100,0.9,0.116777777777778,0.1914
"result.265",5,125,0.9,0.118822222222222,0.2026
"result.266",6,150,0.9,0.134466666666667,0.2124
"result.267",7,175,0.9,0.112955555555556,0.1928
"result.268",8,200,0.9,0.112555555555556,0.2014
"result.269",9,225,0.9,0.111422222222222,0.1912
"result.270",10,250,0.9,0.129644444444444,0.2186
"result.271",1,50,0.95,0.192333333333333,0.2716
"result.272",2,75,0.95,0.114466666666667,0.1858
"result.273",3,100,0.95,0.111022222222222,0.1834
"result.274",4,125,0.95,0.1202,0.1902
"result.275",5,150,0.95,0.121,0.2054
"result.276",6,175,0.95,0.132977777777778,0.2124
"result.277",7,200,0.95,0.113422222222222,0.193
"result.278",8,225,0.95,0.113666666666667,0.2032
"result.279",9,250,0.95,0.106333333333333,0.1918
"result.280",10,50,0.95,0.128866666666667,0.22
"result.281",1,75,0.95,0.201555555555556,0.2772
"result.282",2,100,0.95,0.1104,0.1818
"result.283",3,125,0.95,0.111444444444444,0.1802
"result.284",4,150,0.95,0.117755555555556,0.192
"result.285",5,175,0.95,0.109377777777778,0.202
"result.286",6,200,0.95,0.128044444444444,0.2152
"result.287",7,225,0.95,0.110755555555556,0.1892
"result.288",8,250,0.95,0.118,0.2022
"result.289",9,50,0.95,0.106733333333333,0.1912
"result.290",10,75,0.95,0.123333333333333,0.2176
"result.291",1,100,0.95,0.208622222222222,0.2812
"result.292",2,125,0.95,0.115466666666667,0.186
"result.293",3,150,0.95,0.1104,0.1772
"result.294",4,175,0.95,0.112644444444444,0.1914
"result.295",5,200,0.95,0.110888888888889,0.204
"result.296",6,225,0.95,0.135466666666667,0.2176
"result.297",7,250,0.95,0.108977777777778,0.1888
"result.298",8,50,0.95,0.126533333333333,0.2088
"result.299",9,75,0.95,0.105666666666667,0.1888
"result.300",10,100,0.95,0.134755555555556,0.2218
"result.301",1,125,0.95,0.208266666666667,0.2832
"result.302",2,150,0.95,0.1174,0.1856
"result.303",3,175,0.95,0.110666666666667,0.1802
"result.304",4,200,0.95,0.120711111111111,0.1934
"result.305",5,225,0.95,0.1134,0.203
"result.306",6,250,0.95,0.131288888888889,0.212
"result.307",7,50,0.95,0.104511111111111,0.1884
"result.308",8,75,0.95,0.113755555555556,0.2016
"result.309",9,100,0.95,0.104177777777778,0.1916
"result.310",10,125,0.95,0.125222222222222,0.2168
"result.311",1,150,0.95,0.198422222222222,0.2776
"result.312",2,175,0.95,0.115577777777778,0.186
"result.313",3,200,0.95,0.107777777777778,0.1764
"result.314",4,225,0.95,0.116644444444444,0.1918
"result.315",5,250,0.95,0.111622222222222,0.1998
"result.316",6,50,0.95,0.133844444444444,0.2158
"result.317",7,75,0.95,0.1078,0.1878
"result.318",8,100,0.95,0.113177777777778,0.198
"result.319",9,125,0.95,0.108911111111111,0.1928
"result.320",10,150,0.95,0.123822222222222,0.2152
"result.321",1,175,0.95,0.198266666666667,0.278
"result.322",2,200,0.95,0.112955555555556,0.1854
"result.323",3,225,0.95,0.108155555555556,0.1776
"result.324",4,250,0.95,0.1156,0.1938
"result.325",5,50,0.95,0.121666666666667,0.2062
"result.326",6,75,0.95,0.138355555555556,0.2178
"result.327",7,100,0.95,0.1078,0.1916
"result.328",8,125,0.95,0.113933333333333,0.2054
"result.329",9,150,0.95,0.116288888888889,0.1956
"result.330",10,175,0.95,0.126066666666667,0.2164
"result.331",1,200,0.95,0.202333333333333,0.282
"result.332",2,225,0.95,0.1126,0.1872
"result.333",3,250,0.95,0.108266666666667,0.1804
"result.334",4,50,0.95,0.121666666666667,0.1898
"result.335",5,75,0.95,0.118977777777778,0.2052
"result.336",6,100,0.95,0.130222222222222,0.2148
"result.337",7,125,0.95,0.114644444444444,0.1926
"result.338",8,150,0.95,0.107444444444444,0.1974
"result.339",9,175,0.95,0.1028,0.1882
"result.340",10,200,0.95,0.130066666666667,0.2188
"result.341",1,225,0.95,0.201844444444444,0.2824
"result.342",2,250,0.95,0.114666666666667,0.1868
"result.343",3,50,0.95,0.123777777777778,0.187
"result.344",4,75,0.95,0.115533333333333,0.1988
"result.345",5,100,0.95,0.1096,0.2002
"result.346",6,125,0.95,0.136333333333333,0.2166
"result.347",7,150,0.95,0.105955555555556,0.1888
"result.348",8,175,0.95,0.112777777777778,0.203
"result.349",9,200,0.95,0.105244444444444,0.1924
"result.350",10,225,0.95,0.126066666666667,0.2144
"result.351",1,250,0.95,0.207355555555556,0.2808
"result.352",2,50,0.95,0.111266666666667,0.1832
"result.353",3,75,0.95,0.110977777777778,0.1782
"result.354",4,100,0.95,0.115866666666667,0.1894
"result.355",5,125,0.95,0.112022222222222,0.2002
"result.356",6,150,0.95,0.134022222222222,0.2156
"result.357",7,175,0.95,0.114311111111111,0.1944
"result.358",8,200,0.95,0.116422222222222,0.2038
"result.359",9,225,0.95,0.109066666666667,0.1912
"result.360",10,250,0.95,0.129733333333333,0.2192
"result.361",1,50,1,0.198511111111111,0.2752
"result.362",2,75,1,0.109733333333333,0.1804
"result.363",3,100,1,0.113711111111111,0.1812
"result.364",4,125,1,0.107222222222222,0.1888
"result.365",5,150,1,0.107777777777778,0.199
"result.366",6,175,1,0.1234,0.2092
"result.367",7,200,1,0.109688888888889,0.1906
"result.368",8,225,1,0.108733333333333,0.2
"result.369",9,250,1,0.104111111111111,0.1884
"result.370",10,50,1,0.123555555555556,0.2182
"result.371",1,75,1,0.204488888888889,0.2784
"result.372",2,100,1,0.112066666666667,0.1832
"result.373",3,125,1,0.112911111111111,0.182
"result.374",4,150,1,0.117177777777778,0.1942
"result.375",5,175,1,0.114711111111111,0.2022
"result.376",6,200,1,0.124933333333333,0.2112
"result.377",7,225,1,0.106888888888889,0.1892
"result.378",8,250,1,0.111577777777778,0.2038
"result.379",9,50,1,0.0952888888888889,0.1838
"result.380",10,75,1,0.124511111111111,0.2204
"result.381",1,100,1,0.189333333333333,0.273
"result.382",2,125,1,0.106733333333333,0.1824
"result.383",3,150,1,0.108266666666667,0.1812
"result.384",4,175,1,0.120155555555556,0.1958
"result.385",5,200,1,0.109911111111111,0.2018
"result.386",6,225,1,0.131577777777778,0.2156
"result.387",7,250,1,0.108466666666667,0.1904
"result.388",8,50,1,0.110555555555556,0.2
"result.389",9,75,1,0.106244444444444,0.1932
"result.390",10,100,1,0.122955555555556,0.2166
"result.391",1,125,1,0.204888888888889,0.28
"result.392",2,150,1,0.112555555555556,0.182
"result.393",3,175,1,0.1014,0.1754
"result.394",4,200,1,0.109444444444444,0.189
"result.395",5,225,1,0.107511111111111,0.2002
"result.396",6,250,1,0.131822222222222,0.2164
"result.397",7,50,1,0.116066666666667,0.1992
"result.398",8,75,1,0.115111111111111,0.2048
"result.399",9,100,1,0.0993777777777778,0.193
"result.400",10,125,1,0.126644444444444,0.216
"result.401",1,150,1,0.200888888888889,0.2798
"result.402",2,175,1,0.110333333333333,0.1814
"result.403",3,200,1,0.106822222222222,0.1784
"result.404",4,225,1,0.115311111111111,0.1898
"result.405",5,250,1,0.108333333333333,0.2006
"result.406",6,50,1,0.133866666666667,0.2202
"result.407",7,75,1,0.1062,0.1884
"result.408",8,100,1,0.110644444444444,0.1992
"result.409",9,125,1,0.104488888888889,0.192
"result.410",10,150,1,0.123444444444444,0.2168
"result.411",1,175,1,0.199511111111111,0.279
"result.412",2,200,1,0.113644444444444,0.1822
"result.413",3,225,1,0.105644444444444,0.179
"result.414",4,250,1,0.110244444444444,0.1942
"result.415",5,50,1,0.111955555555556,0.201
"result.416",6,75,1,0.133511111111111,0.216
"result.417",7,100,1,0.105022222222222,0.1874
"result.418",8,125,1,0.114555555555556,0.2068
"result.419",9,150,1,0.1012,0.1896
"result.420",10,175,1,0.129244444444444,0.2202
"result.421",1,200,1,0.201555555555556,0.2812
"result.422",2,225,1,0.107866666666667,0.1804
"result.423",3,250,1,0.108511111111111,0.1804
"result.424",4,50,1,0.108311111111111,0.1844
"result.425",5,75,1,0.127244444444444,0.2082
"result.426",6,100,1,0.133155555555556,0.2152
"result.427",7,125,1,0.107888888888889,0.191
"result.428",8,150,1,0.112111111111111,0.2026
"result.429",9,175,1,0.105177777777778,0.1896
"result.430",10,200,1,0.125044444444444,0.2176
"result.431",1,225,1,0.198155555555556,0.2794
"result.432",2,250,1,0.108666666666667,0.182
"result.433",3,50,1,0.104022222222222,0.1804
"result.434",4,75,1,0.120111111111111,0.194
"result.435",5,100,1,0.109822222222222,0.2034
"result.436",6,125,1,0.126555555555556,0.215
"result.437",7,150,1,0.103955555555556,0.1892
"result.438",8,175,1,0.110444444444444,0.202
"result.439",9,200,1,0.103488888888889,0.1898
"result.440",10,225,1,0.121244444444444,0.2162
"result.441",1,250,1,0.198888888888889,0.2786
"result.442",2,50,1,0.112022222222222,0.183
"result.443",3,75,1,0.1044,0.178
"result.444",4,100,1,0.113533333333333,0.1914
"result.445",5,125,1,0.113511111111111,0.198
"result.446",6,150,1,0.133088888888889,0.2138
"result.447",7,175,1,0.111,0.1938
"result.448",8,200,1,0.113822222222222,0.2046
"result.449",9,225,1,0.103044444444444,0.1908
"result.450",10,250,1,0.120511111111111,0.217
